Response_ID	Annotation_ID	Segment_Type	Label
R000001	1	matn	incorrect
R000001	2	Ayah	incorrect
R000001	3	Ayah	incorrect
R000005	1	Ayah	incorrect
R000005	2	matn	incorrect
R000006	1	Ayah	incorrect
R000006	1	claimed_source	correct
R000006	2	matn	incorrect
R000006	3	Ayah	incorrect
R000006	4	matn	incorrect
R000008	1	Ayah	incorrect
R000008	2	matn	incorrect
R000009	1	Ayah	correct
R000009	1	claimed_source	incorrect
R000009	2	Ayah	incorrect
R000009	3	Ayah	incorrect
R000009	4	matn	incorrect
R000009	5	matn	incorrect
R000009	6	matn	incorrect
R000014	1	Ayah	correct
R000014	1	claimed_source	correct
R000014	2	Ayah	correct
R000014	3	Ayah	correct
R000014	3	claimed_source	correct
R000014	4	Ayah	correct
R000014	4	claimed_source	correct
R000014	5	Ayah	correct
R000014	5	claimed_source	incorrect
R000014	6	matn	incorrect
R000014	7	Ayah	correct
R000017	1	Ayah	correct
R000017	1	claimed_source	correct
R000017	2	matn	correct
R000017	2	claimed_source	incorrect
R000018	1	Ayah	incorrect
R000018	2	matn	incorrect
R000019	1	Ayah	correct
R000019	1	claimed_source	correct
R000019	2	Ayah	correct
R000019	2	claimed_source	correct
R000019	3	matn	correct
R000019	3	isnad	incorrect
R000019	3	claimed_source	correct
R000020	1	Ayah	incorrect
R000020	2	matn	incorrect
R000021	1	Ayah	incorrect
R000021	2	matn	incorrect
R000022	1	Ayah	incorrect
R000022	2	matn	correct
R000022	2	claimed_source	incorrect
R000022	3	Ayah	correct
R000022	3	claimed_source	correct
R000023	1	Ayah	incorrect
R000023	1	claimed_source	correct
R000023	2	Ayah	incorrect
R000023	2	claimed_source	incorrect
R000023	3	Ayah	incorrect
R000023	4	matn	incorrect
R000023	5	matn	incorrect
R000023	6	matn	incorrect
R000023	7	matn	incorrect
R000024	1	Ayah	correct
R000024	1	claimed_source	correct
R000024	2	matn	correct
R000024	2	claimed_source	correct
R000025	1	Ayah	incorrect
R000025	2	matn	incorrect
R000026	1	Ayah	incorrect
R000026	2	Ayah	incorrect
R000026	3	matn	incorrect
R000026	4	Ayah	incorrect
R000026	4	claimed_source	incorrect
R000026	5	Ayah	incorrect
R000026	6	Ayah	incorrect
R000027	1	Ayah	incorrect
R000027	2	Ayah	incorrect
R000027	3	matn	incorrect
R000027	4	matn	incorrect
R000028	1	Ayah	incorrect
R000028	2	matn	incorrect
R000029	1	matn	incorrect
R000030	1	Ayah	incorrect
R000030	2	matn	incorrect
R000030	3	Ayah	incorrect
R000030	4	matn	incorrect
R000030	5	Ayah	incorrect
R000030	6	matn	incorrect
R000031	1	Ayah	correct
R000031	1	claimed_source	correct
R000031	2	Ayah	correct
R000031	2	claimed_source	correct
R000031	3	Ayah	correct
R000031	3	claimed_source	correct
R000031	4	matn	correct
R000031	4	claimed_source	incorrect
R000031	5	Ayah	correct
R000031	5	claimed_source	correct
R000032	1	matn	correct
R000032	1	claimed_source	incorrect
R000033	1	Ayah	incorrect
R000033	2	matn	incorrect
R000033	3	matn	incorrect
R000035	1	Ayah	incorrect
R000035	2	matn	incorrect
R000036	1	Ayah	incorrect
R000036	1	claimed_source	incorrect
R000036	2	matn	incorrect
R000039	1	Ayah	incorrect
R000042	1	Ayah	incorrect
R000042	2	Ayah	incorrect
R000042	3	matn	incorrect
R000043	1	matn	incorrect
R000044	1	Ayah	incorrect
R000044	2	matn	incorrect
R000044	3	Ayah	incorrect
R000045	1	Ayah	incorrect
R000045	2	Ayah	incorrect
R000045	3	matn	incorrect
R000046	1	Ayah	incorrect
R000046	2	Ayah	incorrect
R000046	3	matn	incorrect
R000047	1	Ayah	incorrect
R000047	2	matn	correct
R000047	2	claimed_source	correct
R000048	1	Ayah	incorrect
R000048	2	matn	incorrect
R000049	1	Ayah	incorrect
R000049	2	Ayah	incorrect
R000050	1	Ayah	incorrect
R000050	2	matn	incorrect
R000050	3	matn	incorrect
R000051	1	Ayah	incorrect
R000051	2	Ayah	incorrect
R000051	2	claimed_source	incorrect
R000051	3	Ayah	incorrect
R000051	4	matn	correct
R000051	4	claimed_source	incorrect
R000051	5	Ayah	incorrect
R000051	6	matn	incorrect
R000054	1	Ayah	incorrect
R000054	2	matn	incorrect
R000055	1	Ayah	incorrect
R000055	2	matn	incorrect
R000057	1	matn	correct
R000057	1	claimed_source	correct
R000058	1	matn	correct
R000058	1	isnad	incorrect
R000059	1	matn	incorrect
R000060	1	Ayah	correct
R000060	1	claimed_source	correct
R000060	2	matn	incorrect
R000061	1	matn	incorrect
R000061	2	Ayah	incorrect
R000061	2	claimed_source	incorrect
R000062	1	Ayah	incorrect
R000062	2	Ayah	incorrect
R000062	3	matn	incorrect
R000062	4	matn	incorrect
R000063	1	matn	incorrect
R000063	2	matn	incorrect
R000063	3	matn	incorrect
R000063	4	matn	incorrect
R000064	1	Ayah	correct
R000064	1	claimed_source	correct
R000064	2	matn	correct
R000064	2	claimed_source	incorrect
R000064	3	matn	correct
R000064	3	claimed_source	correct
R000066	1	Ayah	incorrect
R000069	1	Ayah	incorrect
R000069	2	Ayah	incorrect
R000069	3	matn	incorrect
R000071	1	Ayah	incorrect
R000071	1	claimed_source	incorrect
R000071	2	matn	incorrect
R000073	1	Ayah	incorrect
R000073	2	matn	incorrect
R000073	3	matn	incorrect
R000074	1	Ayah	incorrect
R000074	2	matn	incorrect
R000075	1	matn	incorrect
R000076	1	Ayah	incorrect
R000076	2	matn	incorrect
R000077	1	Ayah	incorrect
R000077	2	matn	incorrect
R000079	1	Ayah	correct
R000079	1	claimed_source	correct
R000079	2	matn	correct
R000079	2	claimed_source	correct
R000080	1	Ayah	correct
R000080	1	claimed_source	correct
R000080	2	matn	incorrect
R000081	1	matn	correct
R000081	1	claimed_source	incorrect
R000081	2	matn	incorrect
R000081	3	Ayah	incorrect
R000081	3	claimed_source	correct
R000082	1	Ayah	incorrect
R000082	2	Ayah	incorrect
R000082	3	Ayah	incorrect
R000082	4	Ayah	incorrect
R000082	5	Ayah	incorrect
R000083	1	Ayah	incorrect
R000083	2	matn	incorrect
R000085	1	Ayah	incorrect
R000085	2	matn	incorrect
R000086	1	Ayah	incorrect
