question_id	response_id	annotation_id	span_type	span_text	relevance_label
Q00001-fa	R0040	3	matn	"???? ???????? ??????? ????? ?????? ???????"	0
Q00005-fa	R0041	1	Ayah	???? ????? ??? ??? ???????? ?? ???? ?????? ???????? ?? ??????? ???????? ??? ???? ??? ????? ??????	0
Q00005-fa	R0041	2	matn	?? ??? ??? ????	1
Q00018-fa	R0033	2	Ayah	????????? ??????? ????????? ????????? ????????	0
Q00019-fa	R0045	1	matn	?? ?? ??? ?? ?????? ????	0
Q00025-ja	R0022	2	Ayah	?? ???? ???? ???? ??? ?????	1
Q00029-ja	R0023	1	Ayah	??? ???? ???? ?????? ??? ???????	1
Q00264-al	R0037	1	Ayah	??? ????? ?????? ?????? ????? ?? ?????? ???? ?? ????? ??? ????? ???????? ???????	0
Q00264-al	R0037	2	matn	???? ??????? ?????????	0
Q00357-fa	R0039	2	Ayah	?????? ???????????? ?????? ??????? ?????? ???? ????????	0
Q00357-fa	R0039	4	matn	???? ?????? ??? ???? ??????	0
Q00428-fa	R0047	1	Ayah	???? ???? ????? ??????? ???? ?????? ?????? ?? ????? ????? ?? ?????? ?? ?????? ?? ???? ?????? ??????? ?? ???? ?? ????? ?? ?????	0
Q00428-fa	R0047	2	Ayah	??????? ???????? ??????? ??????? ???? ??? ???? ????? ?? ???? ????? ???? ????	0
Q00428-ja	R0050	3	Ayah	??????? ???????? ??????? ??????? ???? ??? ???? ????? ?? ???? ????? ???? ????	0
Q00428-ja	R0050	4	Ayah	?? ??? ??????? ??? ??? ??????? ??? ??? ??????? ??? ???? ??? ????? ??? ?? ??????	0
Q00439-fa	R0017	1	Ayah	???????? ???????? ?????????? ???????????	0
Q00466-fa	R0018	1	matn	?? ???? ???? ??? ????	1
Q00521-fa	R0061	2	Ayah	?????? ???????? ????????? ???????? * ???????????? ??????????	0
Q00521-ja	R0060	2	Ayah	??? ??? ??? ????? ??? ???	0
Q00594-fa	R0063	1	Ayah	????? ??? ??????	1
Q00594-fa	R0063	2	Ayah	"??????????? ?????????? ???????? ????????????? ?????????? ??????? ???"	1
Q00594-fa	R0063	3	Ayah	????????? ??????? ??????????	1
Q00881-al	R0013	2	Ayah	??? ??????????? ??????? ???? ????????? ???? ?????????????? ??? ???????? ?????? ????????????? ???? ??????????? ???? ???????????? ???????????? ?????????? ????? ??????? ??????? ??????????????	1
Q00881-al	R0013	4	matn	?? ??? ??????? ?? ??? ????? ?????	1
Q00881-al	R0013	5	Ayah	?????? ????????? ?????? ?????	1
Q00935-fa	R0065	2	Ayah	????? ??????????????? ??????? ?????? ?????? ?????? ?????????? ? ????????? ???? ???????? ????????????	1
Q00935-fa	R0065	4	matn	?? ???? ?? ???? ??? ????? ???????? ???? ???? ??? ?????? ????????	0
Q00938-ja	R0059	1	Ayah	?? ?????? ?? ???? ?? ??? ????????	1
Q00938-ja	R0059	3	Ayah	?? ??? ??? ????	0
Q01335-al	R0010	1	matn	????? ?? ???? ?????? ?????	1
Q01335-al	R0010	2	Ayah	?????? ????????????? ????????????? * ??????????? ???????? ???? ??????????? 	0
Q03478-ja	R0025	2	Ayah	??? ??????? ??? ?????? ??? ????? ?? ???? ??? ????? ????? ???? ?????? ???? ????? ???? ????? ????? ????? ?????? ?????? ???? ???? ?? ??????	1
Q03478-ja	R0025	3	Ayah	?? ?????? ???? ?? ????? ?? ???????? ?? ????? ??? ??????? ?? ?????? ?? ?????? ??????? ????? ?? ???? ??? ????????	1
Q03478-ja	R0025	5	matn	"?? ??? ???? ????? ?????? ????? ?????? ????, ??? ??? ???? ????? ?????? ????? ????? ????, ??? ??? ???? ????? ?????? ????? ????? ???? ?? ?????"	0
Q06596-al	R0011	1	Ayah	??? ???????? ????????? ??????? ???????? ??????? ??????????? ???????? ???????????? ??????????? ??? ????????? ??????????? ???????????	1
Q06596-al	R0011	3	matn	"?? ??? ?????? ????? ??? ?????? ????? ???? ?? ?? ?????? ??? ?????"	1
Q07585-al	R0030	2	matn	"???? ??????? ???????? ????? ??? ???? ?? ???? ??? ???? ????? ??? ???? ??????? ?? ??? ????? ??????? ?????? ??? ?? ???? ????"	1
Q07585-al	R0030	5	Ayah	?????? ???????? ????????? ??????? ??????? ??????	0
Q07585-al	R0030	7	Ayah	????? ?????????? ?????? ?????????? ?????? ???????	0
