question_id	Response_ID	Annotation_ID	span_type	span_text	relevance_label
Q05759	R000014	1	Ayah	إِنْ هُوَ إِلَّا ذِكْرٌ لِّلْعَالَمِينَ	1
Q05759	R000014	2	Ayah	إِنْ هُوَ إِلَّا ذِكْرٌ لِّلْعَالَمِينَ	1
Q05759	R000014	3	Ayah	إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ وَإِنَّا لَهُ لَحَافِظُونَ	1
Q05759	R000014	4	Ayah	إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ وَإِنَّا لَهُ لَحَافِظُونَ	1
Q05759	R000014	5	Ayah	وَلَقَدْ أَنْزَلْنَا إِلَيْكَ آيَاتٍ بَيِّنَاتٍ وَمَا يَكْفُرُ بِهَا إِلَّا الْفَاسِقُونَ	0
Q05759	R000014	7	Ayah	إِنْ هُوَ إِلَّا ذِكْرٌ لِّلْعَالَمِينَ	1
Q07863	R000017	1	Ayah	وَمَا خَلَقْتُ الْجِنَّ وَالْإِنْسَ إِلَّا لِيَعْبُدُونِ	0
Q07863	R000017	2	matn	إنما بعثت لأتمم مكارم الأخلاق	1
Q05815	R000019	3	matn	إنما الأعمال بالنيات، وإنما لكل امرئ ما نوى	0
Q05433	R000024	1	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا كُلُوا مِنْ طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَاشْكُرُوا لِلَّهِ إِنْ كُنْتُمْ إِيَّاهُ تَعْبُدُونَ	0
Q05433	R000024	2	matn	ما أسكر كثيره فقليله حرام	1
Q00034	R000031	1	Ayah	وَأَنَّ هَذَا صِرَاطِي مُسْتَقِيمًا فَاتَّبِعُوهُ وَلَا تَتَّبِعُوا السُّبُلَ فَتَفَرَّقَ بِكُمْ عَنْ سَبِيلِهِ	0
Q00034	R000031	2	Ayah	يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَأْكُلُوا أَمْوَالَكُمْ بَيْنَكُمْ بِالْبَاطِلِ	1
Q00034	R000031	3	Ayah	وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَى	0
Q00034	R000031	4	matn	من اقتطع حق امرئ مسلم بيمينه فقد أوجب الله له النار، وحرم عليه الجنة	0
