Response_ID	Annotation_ID	Segment_Type	Span_Start	Span_End
R000001	1	matn	1927	1975
R000001	1	claimed_source	1978	2001
R000001	2	Ayah	2671	2719
R000001	2	claimed_source	2722	2732
R000001	3	Ayah	2916	3079
R000001	3	claimed_source	3082	3093
R000003	1	NoAnnotation	-	-
R000005	1	Ayah	611	1115
R000005	1	claimed_source	1119	1147
R000005	2	matn	1231	1313
R000005	2	isnad	1182	1229
R000005	2	claimed_source	1319	1355
R000006	1	Ayah	168	233
R000006	1	claimed_source	236	247
R000006	2	matn	422	446
R000006	2	claimed_source	449	457
R000006	3	Ayah	557	599
R000006	3	claimed_source	602	613
R000006	4	matn	844	1030
R000006	4	isnad	783	842
R000006	4	claimed_source	1034	1041
R000007	1	NoAnnotation	-	-
R000008	1	Ayah	99	110
R000008	1	claimed_source	78	95
R000008	2	matn	437	551
R000008	2	isnad	344	435
R000008	2	claimed_source	760	793
R000009	1	Ayah	746	822
R000009	1	claimed_source	825	836
R000009	2	Ayah	843	1019
R000009	2	claimed_source	1022	1030
R000009	3	Ayah	1037	1161
R000009	3	claimed_source	1164	1173
R000009	4	matn	1323	1421
R000009	4	isnad	1238	1321
R000009	4	claimed_source	1425	1432
R000009	5	matn	1524	1579
R000009	5	isnad	1439	1522
R000009	5	claimed_source	1583	1590
R000009	6	matn	1682	1737
R000009	6	isnad	1597	1680
R000009	6	claimed_source	1741	1748
R000010	1	NoAnnotation	-	-
R000011	1	NoAnnotation	-	-
R000012	1	NoAnnotation	-	-
R000014	1	Ayah	89	128
R000014	1	claimed_source	139	143
R000014	2	Ayah	281	320
R000014	3	Ayah	659	720
R000014	3	claimed_source	731	738
R000014	4	Ayah	832	893
R000014	4	claimed_source	904	911
R000014	5	Ayah	1063	1152
R000014	5	claimed_source	1163	1174
R000014	6	matn	1357	1387
R000014	6	claimed_source	1390	1399
R000014	7	Ayah	1533	1572
R000017	1	Ayah	174	230
R000017	1	claimed_source	241	253
R000017	2	matn	600	629
R000017	2	claimed_source	643	671
R000018	1	Ayah	178	367
R000018	1	claimed_source	373	382
R000018	2	matn	440	507
R000018	2	claimed_source	513	526
R000019	1	Ayah	19	64
R000019	1	claimed_source	69	83
R000019	2	Ayah	552	597
R000019	2	claimed_source	528	542
R000019	3	matn	756	799
R000019	3	isnad	720	750
R000019	3	claimed_source	805	841
